Giờ,Thời tiết,dịch WTP,r* (ngây thơ),r* (vững),so với đối thủ
0h,Không mưa,-18.0%,0.82,0.854,-14.6%
0h,Mưa,-14.2%,0.858,0.893,-10.7%
3h,Không mưa,-25.2%,0.748,0.779,-22.1%
3h,Mưa,-21.8%,0.782,0.815,-18.5%
6h,Không mưa,-10.0%,0.9,0.937,-6.3%
6h,Mưa,-5.9%,0.941,0.98,-2.0%
9h,Không mưa,+9.3%,1.093,1.138,+13.8%
9h,Mưa,+14.3%,1.143,1.19,+19.0%
12h,Không mưa,+2.0%,1.02,1.062,+6.2%
12h,Mưa,+6.7%,1.067,1.111,+11.1%
15h,Không mưa,+5.0%,1.05,1.093,+9.3%
15h,Mưa,+9.8%,1.098,1.143,+14.3%
18h,Không mưa,+12.2%,1.122,1.168,+16.8%
18h,Mưa,+17.4%,1.174,1.222,+22.2%
21h,Không mưa,+6.0%,1.06,1.103,+10.3%
21h,Mưa,+10.9%,1.109,1.154,+15.4%
