Cách gán,w,Toàn tập,Δ toàn tập (điểm),>15,12–15,>300k
— MỐC —,,0.146496329231556,0.0,0.17523891599666946,0.15260030871549365,0.23671551772428714
quang_duong,1,0.14653901707659084,0.004268784503483336,0.17662759896937738,0.15250396992069817,0.23789861172221236
quang_duong,2,0.1466399593115237,0.014363007996770483,0.17426689409389265,0.15208090057967888,0.2368127532387694
quang_duong,3,0.1465836463212097,0.008731708965370455,0.17873160484812917,0.1539177446588956,0.23647652503498354
quang_duong,5,0.14658287394810807,0.008654471655206164,0.18137671489212367,0.1542849571542067,0.23600051932575075
quang_duong,10,0.14668809936022542,0.019177012866941623,0.17862736047935407,0.15441785728566482,0.23625510053739646
gia,1,0.14658476711355584,0.008843788199983105,0.17528408913030027,0.15337673384993958,0.23648695993620336
gia,2,0.14671746255485307,0.022113332329706803,0.18354654332213938,0.1585760830606596,0.22683885123624864
gia,3,0.14670775187233465,0.021142264077864126,0.18899277071523943,0.162964423715205,0.22169765514066742
gia,5,0.1469470418339671,0.045071260241108524,0.1993726335154554,0.16957099147178642,0.21352761228826894
gia,10,0.14728184692065513,0.07855176890991244,0.2173902726020856,0.1858858188734139,0.20418994915426028
