Chia theo,Nhóm,n,Mốc,w=2,Chênh (điểm),CI thấp,CI cao,Khác 0
km,<2,8314,0.09156218007558414,0.09263333026733186,-0.10711501917477437,-0.13184436520201215,-0.08147119074642097,✔
km,2–5,26844,0.14164244182076818,0.1419305417494326,-0.028809992866442393,-0.04440003454542751,-0.01293167225468052,✔
km,5–8,125255,0.14987854108639415,0.14999396836036286,-0.011542727396876094,-0.01592408357095977,-0.007195021093128963,✔
km,8–12,52972,0.14898686344870019,0.14901789130669274,-0.003102785799250411,-0.011901593512056415,0.005727835754350246,
km,12–15,2045,0.15260030871549365,0.15208090057967888,0.05194081358148028,-0.08399393529708887,0.18177236040768066,
km,>15,660,0.17523891599666946,0.17426689409389265,0.09720219027768164,-0.16152197565059398,0.3478101321701822,
giá thật,<50k,3363,0.19904403449362817,0.20148223372336244,-0.24381992297342436,-0.30414882710160457,-0.18585410091967555,✔
giá thật,50–100k,72514,0.16333157852474875,0.16384177731624025,-0.05101987914914982,-0.05882490672089168,-0.043151573606605605,✔
giá thật,100–150k,89112,0.12835481605204835,0.12825089943864806,0.010391661340028498,0.004883406886871152,0.016157749149139342,✔
giá thật,150–200k,37298,0.138322008910369,0.13807751252184222,0.02444963885267963,0.014427225087530901,0.03480044436545254,✔
giá thật,200–300k,12934,0.18094836626177163,0.18126812431766492,-0.03197580558932622,-0.05625152658310369,-0.007546707047515631,✔
giá thật,>300k,869,0.23671551772428714,0.2368127532387694,-0.009723551448225768,-0.15203724497258383,0.1414165801668292,
—,TOÀN TẬP,216090,0.146496329231556,0.1466399593115237,-0.014363007996770165,-0.018728737575799813,-0.010158526310111169,✔
