Lát,Nhóm,n,Hybrid,GAM,Chênh,CI thấp,CI cao,Kết luận
2026-01 · cả tháng,>15,232,0.16427843814800686,0.15182126259436374,1.245717555364312,0.00929411250983159,2.5725296656386045,GAM thắng
2026-01 · cả tháng,12–15,776,0.1539751119203346,0.15110137075598803,0.28737411643466,-0.0251094501406266,0.6109235793536474,không phân biệt
2026-01 · cả tháng,8–12,19260,0.1500184519261332,0.15091507737264992,-0.08966254465167087,-0.12115676424871782,-0.058339863118253704,Hybrid thắng
2026-01 · cả tháng,>300k,321,0.23047579620335645,0.2170174952282441,1.3458300975112378,0.6522885416286767,2.086335644941366,GAM thắng
2026-01 · cả tháng,200–300k,4485,0.1810322451483872,0.1816190433912974,-0.05867982429102063,-0.13880025971747625,0.018981619038780928,không phân biệt
2026-01 · cả tháng,TOÀN TẬP,78840,0.1468370421509774,0.1493431547589225,-0.25061126079450946,-0.2719076273636851,-0.23151504170949933,Hybrid thắng
2026-01 · nửa đầu,>15,111,0.1759612977345689,0.1486505714063723,2.731072632819659,1.0857261958340538,4.47192109740615,GAM thắng
2026-01 · nửa đầu,12–15,362,0.15190774308120777,0.14803133062366633,0.3876412457541435,-0.11867483363037477,0.8861698686011983,không phân biệt
2026-01 · nửa đầu,8–12,9630,0.15141024129310104,0.15253751979768446,-0.11272785045833991,-0.15832441979128917,-0.07334557394232752,Hybrid thắng
2026-01 · nửa đầu,>300k,102,0.24333902385478945,0.21776973209616343,2.5569291758626065,1.0405431543359183,4.180180882788574,GAM thắng
2026-01 · nửa đầu,200–300k,1611,0.1941780007207711,0.19220396785173816,0.19740328690329678,0.07242370892426561,0.32906066911438164,GAM thắng
2026-01 · nửa đầu,TOÀN TẬP,39420,0.14743030278632505,0.15014758591566904,-0.27172831293440025,-0.30007837310863733,-0.24495617149829021,Hybrid thắng
2026-01 · nửa sau,>15,121,0.15356110414711108,0.15472991318830628,-0.11688090411951871,-1.7465843495307616,1.4925579303926815,không phân biệt
2026-01 · nửa sau,12–15,414,0.15578281124343585,0.1537858019828007,0.19970092606351736,-0.2564431676489088,0.6505604418642484,không phân biệt
2026-01 · nửa sau,8–12,9630,0.14862666255916535,0.14929263494761535,-0.06659723884500184,-0.11563931982573425,-0.018440378161836066,Hybrid thắng
2026-01 · nửa sau,>300k,219,0.22448470387255198,0.21666713833085696,0.7817565541695042,-0.07865024522331462,1.5801191472833522,không phân biệt
2026-01 · nửa sau,200–300k,2874,0.17366348654466052,0.175685740222971,-0.20222536783105027,-0.30378428473422897,-0.10775668235090843,Hybrid thắng
2026-01 · nửa sau,TOÀN TẬP,39420,0.14624378151562978,0.14853872360217593,-0.22949420865461864,-0.2597230372928366,-0.1989254704871747,Hybrid thắng
2026-02 · cả tháng,>15,189,0.1785793564514449,0.15112105707421247,2.745829937723246,1.3357350551052376,4.129416358999018,GAM thắng
2026-02 · cả tháng,12–15,539,0.1455946017966887,0.14300572809345016,0.2588873703238541,-0.1372365965058052,0.6650892670980857,không phân biệt
2026-02 · cả tháng,8–12,14428,0.1487045457366472,0.14905103072050127,-0.03464849838540052,-0.0706427930182086,0.003172042792890793,không phân biệt
2026-02 · cả tháng,>300k,221,0.23112163361262505,0.2154768204563556,1.5644813156269501,0.6026472565801421,2.57811587880852,GAM thắng
2026-02 · cả tháng,200–300k,3431,0.18205431288127133,0.18193276614141293,0.012154673985841118,-0.08875702670955027,0.10753164980670384,không phân biệt
2026-02 · cả tháng,TOÀN TẬP,58658,0.1462804766171544,0.14845447707202347,-0.21740004548690792,-0.24118252894915443,-0.19221946450173535,Hybrid thắng
2026-02 · nửa đầu,>15,105,0.16929866450186024,0.14761579097731312,2.1682873524547155,0.4645207675202107,3.8864599736204055,GAM thắng
2026-02 · nửa đầu,12–15,262,0.14419098285029203,0.14224675220182625,0.1944230648465798,-0.36452379193409107,0.8224603165926421,không phân biệt
2026-02 · nửa đầu,8–12,7214,0.15016736340270775,0.15036492841664312,-0.019756501393534597,-0.06943710317501371,0.03166083069184847,không phân biệt
2026-02 · nửa đầu,>300k,89,0.22690044242834898,0.2152608036597995,1.163963876854951,-0.25629873159462746,2.5947789391889433,không phân biệt
2026-02 · nửa đầu,200–300k,1490,0.1878800659809317,0.18659440900881583,0.1285656972115892,-0.01056672571987602,0.27120156364319303,không phân biệt
2026-02 · nửa đầu,TOÀN TẬP,29329,0.146935530657553,0.14905389395863586,-0.21183633010828606,-0.24379511606525206,-0.17839761001057075,Hybrid thắng
2026-02 · nửa sau,>15,84,0.19018022138842577,0.15550263969533668,3.4677581693089086,1.0208638114241966,5.936625355874761,GAM thắng
2026-02 · nửa sau,12–15,277,0.1469222124968906,0.14372360420754932,0.319860828934128,-0.21145925790969847,0.880651971851845,không phân biệt
2026-02 · nửa sau,8–12,7214,0.14724172807058675,0.1477371330243594,-0.04954049537726642,-0.1059480751668068,0.005907097597389514,không phân biệt
2026-02 · nửa sau,>300k,132,0.23396773978990212,0.21562246814494257,1.8345271644959495,0.6066299030086938,3.142162941663204,GAM thắng
2026-02 · nửa sau,200–300k,1941,0.17758219947658618,0.17835427676870283,-0.07720772921166766,-0.20475471054199618,0.0539806762460308,không phân biệt
2026-02 · nửa sau,TOÀN TẬP,29329,0.1456254225767558,0.14785506018541109,-0.22296376086552971,-0.25864758162247453,-0.18628409656263192,Hybrid thắng
2026-03 · cả tháng,>15,239,0.18323677212611364,0.15745613467888833,2.5780637447225274,1.2030282242323442,3.8982796786314187,GAM thắng
2026-03 · cả tháng,12–15,730,0.15631158096519132,0.15152932856249252,0.47822524026988267,0.1266356851319605,0.8424037486314944,GAM thắng
2026-03 · cả tháng,8–12,19284,0.1481677847240653,0.1489425565584589,-0.07747718343936005,-0.1105834590672295,-0.045849067486458124,Hybrid thắng
2026-03 · cả tháng,>300k,327,0.24662132505424464,0.22668169346119962,1.9939631593044966,1.1695479159540647,2.8738955716490073,GAM thắng
2026-03 · cả tháng,200–300k,5018,0.18011721846225506,0.18069457413848483,-0.05773556762297664,-0.1388122473767896,0.015722253442284707,không phân biệt
2026-03 · cả tháng,TOÀN TẬP,78592,0.14631564514269696,0.14872555845283292,-0.24099133101359746,-0.26297886610546634,-0.21946552288692783,Hybrid thắng
2026-03 · nửa đầu,>15,118,0.1819312025740096,0.15715664252589437,2.4774560048115166,0.5346082606018366,4.293947608789293,GAM thắng
2026-03 · nửa đầu,12–15,372,0.15083775501646085,0.14654926425474818,0.42884907617126833,-0.10129535266493438,0.975122440516487,không phân biệt
2026-03 · nửa đầu,8–12,9651,0.14873920961818782,0.14933409635715597,-0.05948867389681919,-0.10820656790532654,-0.007818469274568933,Hybrid thắng
2026-03 · nửa đầu,>300k,187,0.2393620591914903,0.22335710158958294,1.6004957601907333,0.573157895270544,2.6537720177074977,GAM thắng
2026-03 · nửa đầu,200–300k,2815,0.17711927845848255,0.17843587046364456,-0.13165920051620433,-0.23173036503211672,-0.031275709608732834,Hybrid thắng
2026-03 · nửa đầu,TOÀN TẬP,39296,0.14587442587546004,0.14833136298736563,-0.24569371119055652,-0.2758766481510909,-0.21412319120311687,Hybrid thắng
2026-03 · nửa sau,>15,121,0.1845099721851903,0.15774820140660142,2.676177077858885,0.7165969635569486,4.810055998414871,GAM thắng
2026-03 · nửa sau,12–15,358,0.16199946714655372,0.15670414398841676,0.5295323158136941,0.042179051972098064,1.0476229571187434,GAM thắng
2026-03 · nửa sau,8–12,9633,0.14759529207866134,0.14855028513759044,-0.09549930589291157,-0.14297748354255677,-0.04826854691028743,Hybrid thắng
2026-03 · nửa sau,>300k,140,0.25631763017092357,0.23112239831828763,2.519523185263595,1.1170043055004109,3.9777867846834485,GAM thắng
2026-03 · nửa sau,200–300k,2203,0.183947995180648,0.18358075246107913,0.03672427195688529,-0.07833668788230637,0.1473808390001457,không phân biệt
2026-03 · nửa sau,TOÀN TẬP,39296,0.14675686440993382,0.14911975391830024,-0.23628895083663837,-0.2661758801859089,-0.20764365957950437,Hybrid thắng
