Chia theo,Nhóm,n,Hybrid,Ghép,Chênh (điểm),CI thấp,CI cao,Khác 0
km,<2,5288,0.09246691443241309,0.09246691443241309,0.0,0.0,0.0,
km,2–5,17055,0.14192703488883687,0.14192703488883687,0.0,0.0,0.0,
km,5–8,79498,0.14965563887177633,0.1496378966388084,0.0017742232967950667,0.0004954254012435217,0.0028992687949420935,✔
km,8–12,33712,0.14839750671889004,0.14831992116840673,0.007758555048334159,-0.001399277750952488,0.016782621829716116,
km,12–15,1269,0.15175960951379425,0.14795407574282077,0.3805533770973465,0.1718865048175194,0.5882476987135773,✔
km,>15,428,0.1811801095968791,0.15613503729597558,2.5045072300903493,1.7299222172090918,3.3589601927934547,✔
giá thật,<50k,2109,0.2015563702180708,0.2015495636873455,0.0006806530725288488,-0.00016639733256205817,0.0019536198012505748,
giá thật,50–100k,44942,0.16342247915995886,0.16334502313562138,0.00774560243375092,0.0056730310602394725,0.009821875188030016,✔
giá thật,100–150k,56935,0.12845932046428998,0.12836263276358964,0.009668770070032185,0.006120742716994973,0.013415532963197752,✔
giá thật,150–200k,24267,0.1374761166428641,0.13754495743967557,-0.006884079681144783,-0.018256312402836233,0.004374847933027313,
giá thật,200–300k,8449,0.18090384066034296,0.18045830126730586,0.044553939303713964,0.009434122337296957,0.0812329142253611,✔
giá thật,>300k,548,0.2403705370823506,0.22489526547553237,1.5475271606818226,1.0418075312771167,2.088687286995252,✔
—,TOÀN TẬP,137250,0.14630061479390802,0.1461579951260426,0.014261966786544684,0.010245114506866704,0.01835895382867098,✔
