Phương án,Nhóm,n,Chênh (điểm),CI thấp,CI cao,Kết luận
GAM đơn lẻ,Chuyến >15 km,660,2.1577660091862088,1.361168097080477,2.912826573446308,tốt hơn
GAM đơn lẻ,Chuyến 12–15 km,2045,0.34799365885323613,0.1479497338362341,0.5628226795505402,tốt hơn
GAM đơn lẻ,Giá thật >300k,869,1.6453254144387042,1.165509295817794,2.1238628481275925,tốt hơn
GAM đơn lẻ,Toàn tập,216090,-0.23809724816618458,-0.2509615111245292,-0.2248786474119811,tệ hơn
Trọng số quang_duong w=2,Chuyến >15 km,660,0.09720219027768164,-0.16152197565059398,0.3478101321701822,không phân biệt
Trọng số quang_duong w=2,Chuyến 12–15 km,2045,0.05194081358148028,-0.08399393529708887,0.18177236040768066,không phân biệt
Trọng số quang_duong w=2,Giá thật >300k,869,-0.009723551448225768,-0.15203724497258383,0.1414165801668292,không phân biệt
Trọng số quang_duong w=2,Toàn tập,216090,-0.014363007996770165,-0.018728737575799813,-0.010158526310111169,tệ hơn
"Ghép GAM–GBM (d₀=6, d₁=14)",Chuyến >15 km,660,2.1237311383169395,1.4712434711369475,2.757035587788743,tốt hơn
"Ghép GAM–GBM (d₀=6, d₁=14)",Chuyến 12–15 km,2045,0.3416646339960062,0.19036414566732213,0.5049102785380656,tốt hơn
"Ghép GAM–GBM (d₀=6, d₁=14)",Giá thật >300k,869,1.4310626494585665,1.0459820703259313,1.8479288679507977,tốt hơn
"Ghép GAM–GBM (d₀=6, d₁=14)",Toàn tập,216090,0.011071805953752671,0.008060240803370523,0.014224839667281526,tốt hơn
