Cách gán,w,>15 km,Δ >15 km,CI thấp (km),CI cao (km),>300k,Δ >300k,CI thấp (300k),CI cao (300k),Toàn tập,Δ toàn tập,CI thấp (chung),CI cao (chung),Có thật ở >15 km,Có thật ở >300k
Hiếm = chuyến >15 km,1,0.17523891599666946,0.0,0.0,0.0,0.23671551772428714,0.0,0.0,0.0,0.146496329231556,0.0,0.0,0.0,—,—
Hiếm = chuyến >15 km,2,0.17747867843742957,-0.2239762440760097,-0.42637586546142947,-0.02535574945991544,0.2358810802377149,0.0834437486572291,-0.021573958446711804,0.18383863857265242,0.14650259576637611,-0.000626653482006777,-0.0026476405684790205,0.0015045987646029302,✘ xấu đi,—
Hiếm = chuyến >15 km,3,0.17826415664695394,-0.3025240650284471,-0.5736655158205295,-0.052943129460288355,0.23571362618066036,0.10018915436267953,-0.02712658847794988,0.22701701777743868,0.14651969075416024,-0.0023361522604231767,-0.004707373561015497,0.0001289151026972799,✘ xấu đi,—
Hiếm = chuyến >15 km,5,0.18044352169863476,-0.52046057019653,-0.8693283898502345,-0.17895837861815053,0.2358349959112198,0.08805218130673134,-0.09211879680194718,0.2615580968220368,0.14653273822649468,-0.003640899493868555,-0.006435221319169702,-0.00065010412812374,✘ xấu đi,—
Hiếm = chuyến >15 km,10,0.18312782459554364,-0.7888908598874167,-1.201092941284023,-0.37241880847225134,0.23544312797734518,0.12723897469419876,-0.09310458269218079,0.3323024875552096,0.14656503311476402,-0.006870388320804371,-0.010171573756508819,-0.003243132655285854,✘ xấu đi,—
Hiếm = chuyến >15 km,20,0.18506665185391086,-0.9827735857241396,-1.464811660904557,-0.49042941563766546,0.23527421295039205,0.14413047738950932,-0.1294247121583167,0.3967323599865894,0.14658952420646615,-0.009319497491013176,-0.013348172680401697,-0.004983115452929815,✘ xấu đi,—
Hiếm = chuyến >300k,1,0.17523891599666946,0.0,0.0,0.0,0.23671551772428714,0.0,0.0,0.0,0.146496329231556,0.0,0.0,0.0,—,—
Hiếm = chuyến >300k,2,0.18263877863155664,-0.7399862634887172,-1.1199466250785828,-0.34608815877051213,0.22690074008328323,0.9814777641003929,0.7903603233186705,1.1630553937881074,0.1465857957408807,-0.008946650932470643,-0.011578111076548357,-0.006285188746062284,✘ xấu đi,✔
Hiếm = chuyến >300k,3,0.18951424678865422,-1.4275330791984782,-1.9895892140738967,-0.8749806986596184,0.22121412742865232,1.5501390295634834,1.2678312865359043,1.8081185370210733,0.14667746728686176,-0.018113805530574078,-0.021541850791245647,-0.014885505756109413,✘ xấu đi,✔
Hiếm = chuyến >300k,5,0.19952381297565727,-2.42848969789878,-3.211121681603446,-1.643093968941209,0.2135407349194142,2.3174782804872947,1.9294892253033977,2.6827581574609414,0.14682996632386006,-0.03336370923040116,-0.03767651811681214,-0.028797371518979195,✘ xấu đi,✔
Hiếm = chuyến >300k,10,0.21689476510939187,-4.1655849112722425,-5.197435869949964,-3.135214573366614,0.2044475344382088,3.226798328607837,2.7519323480695257,3.6818082686092213,0.14713132125800474,-0.06349920264487145,-0.06976256028800659,-0.05710087254430831,✘ xấu đi,✔
Hiếm = chuyến >300k,20,0.23711837401084865,-6.187945801417917,-7.432752531193747,-4.990845551908769,0.19906191653427685,3.765360119001029,3.2026003605146034,4.3153121163833355,0.14758269645043326,-0.10863672188772086,-0.1168007321200219,-0.10028636579782299,✘ xấu đi,✔
Hiếm = >15 km HOẶC >300k,1,0.17523891599666946,0.0,0.0,0.0,0.23671551772428714,0.0,0.0,0.0,0.146496329231556,0.0,0.0,0.0,—,—
Hiếm = >15 km HOẶC >300k,2,0.17657312395302865,-0.13342079563591974,-0.3299030488839786,0.06567349695461232,0.2310909816797037,0.562453604458348,0.4415390226743031,0.6793574886160983,0.1465583845950196,-0.006205536346358159,-0.008609824452092652,-0.0039407485385149635,—,✔
Hiếm = >15 km HOẶC >300k,3,0.17846574608539706,-0.32268300887276047,-0.5759944495358348,-0.0594240122377704,0.227894671728877,0.8820845995410128,0.7163669237790908,1.0537406379404997,0.1466037994797675,-0.010747024821151108,-0.013682233034417596,-0.0077983791267841815,✘ xấu đi,✔
Hiếm = >15 km HOẶC >300k,5,0.18130426058656904,-0.6065344589899556,-0.9423965767327619,-0.2738696508106047,0.2233008460067506,1.341467171753658,1.100272212937708,1.5921842009237286,0.1467450367629286,-0.024870753137262048,-0.028780149295948423,-0.02092789149000564,✘ xấu đi,✔
Hiếm = >15 km HOẶC >300k,10,0.18124084954057607,-0.6001933543906626,-1.031538317663041,-0.18653551826212939,0.2167679043211226,1.9947613403164528,1.6286613522784519,2.3556041462295694,0.1469956176550497,-0.049928842349367314,-0.05558943075978023,-0.044206229375000405,✘ xấu đi,✔
Hiếm = >15 km HOẶC >300k,20,0.18307694467413893,-0.7838028677469476,-1.2352451470391375,-0.34944343360183433,0.20960744163701306,2.71080760872741,2.278009615326654,3.169393971306733,0.14743952384990644,-0.09431946183504226,-0.1018931254530138,-0.08668647394776091,✘ xấu đi,✔
