Cách gán,w,<50k,50–100k,100–150k,150–200k,200–300k,>300k,TOÀN TẬP
— MỐC (w=1) —,1,0.19904403449362817,0.16333157852474875,0.12835481605204835,0.138322008910369,0.18094836626177163,0.23671551772428714,0.146496329231556
Hiếm = chuyến >15 km,1,0.19904403449362817,0.16333157852474875,0.12835481605204835,0.138322008910369,0.18094836626177163,0.23671551772428714,0.146496329231556
Hiếm = chuyến >15 km,2,0.19891792310857107,0.16337248749790592,0.12829937828185875,0.13840242757120472,0.18106260906050473,0.2358810802377149,0.14650259576637611
Hiếm = chuyến >15 km,3,0.19921214264480125,0.16338886462868568,0.12832167331989072,0.1383987213963341,0.1810482298588171,0.23571362618066036,0.14651969075416024
Hiếm = chuyến >15 km,5,0.199133688315537,0.16339013789962173,0.12832164455439923,0.1384206375473334,0.18120831990768557,0.2358349959112198,0.14653273822649468
Hiếm = chuyến >15 km,10,0.19927250583059386,0.16344158027516964,0.12828910590270615,0.13847178669657706,0.18152638263215037,0.23544312797734518,0.14656503311476402
Hiếm = chuyến >15 km,20,0.19952611357419628,0.1634640965708721,0.1282411022100783,0.1385684735118167,0.18180664534118599,0.23527421295039205,0.14658952420646615
Hiếm = chuyến >300k,1,0.19904403449362817,0.16333157852474875,0.12835481605204835,0.138322008910369,0.18094836626177163,0.23671551772428714,0.146496329231556
Hiếm = chuyến >300k,2,0.19903473164237215,0.1633788991303899,0.12835717542376404,0.13878856685158342,0.1814779636359462,0.22690074008328323,0.1465857957408807
Hiếm = chuyến >300k,3,0.1992023423222504,0.16336776359333935,0.12844404708808085,0.13912574546081985,0.18183959830946347,0.22121412742865232,0.14667746728686176
Hiếm = chuyến >300k,5,0.19911668829871318,0.16342066340481531,0.1285285766751841,0.13969260488742463,0.18241161385668944,0.2135407349194142,0.14682996632386006
Hiếm = chuyến >300k,10,0.19909390909668465,0.16345122538360435,0.12867546501478064,0.14077137913550178,0.18376901129298961,0.2044475344382088,0.14713132125800474
Hiếm = chuyến >300k,20,0.1992977240541335,0.16349723249749315,0.12889047869310716,0.14223354233295352,0.1856632525091924,0.19906191653427685,0.14758269645043326
Hiếm = >15 km HOẶC >300k,1,0.19904403449362817,0.16333157852474875,0.12835481605204835,0.138322008910369,0.18094836626177163,0.23671551772428714,0.146496329231556
Hiếm = >15 km HOẶC >300k,2,0.19899520589389336,0.16337507477948915,0.1283763215282695,0.13867042025952425,0.18097897906372334,0.2310909816797037,0.1465583845950196
Hiếm = >15 km HOẶC >300k,3,0.1990360594305608,0.1633977316643985,0.1284122023478799,0.1388661118431432,0.18100330624119174,0.227894671728877,0.1466037994797675
Hiếm = >15 km HOẶC >300k,5,0.19916893294968854,0.16343432166636873,0.12849703729087406,0.13942725671250564,0.18122925840181817,0.2233008460067506,0.1467450367629286
Hiếm = >15 km HOẶC >300k,10,0.19938689324838507,0.16347041939829593,0.1286233162772831,0.1404734388877174,0.18170869895213757,0.2167679043211226,0.1469956176550497
Hiếm = >15 km HOẶC >300k,20,0.19962140297316605,0.1635368550384844,0.1289362117392486,0.14190598085729741,0.18288592724299554,0.20960744163701306,0.14743952384990644
