Nhóm km,Model,Số chuyến,Trung vị lệch %,Trung bình lệch %,% chuyến bị báo THẤP,Giá thật TB,Giá model báo TB,Chênh tiền TB,MAPE %
<5,GBM Hybrid,35158,0.5352684106887419,1.3781812567511436,48.26781955742647,79456.05552079185,78292.47868034201,-1163.5768404498376,12.979969490258567
<5,GAM Hybrid,35158,-0.6607049250816233,1.4042380232545542,51.57574378519825,79456.05552079185,78083.68828259314,-1372.3672381987126,14.16901131257572
<5,Ghép,35158,0.5352684106887419,1.3781812567511436,48.26781955742647,79456.05552079185,78292.47868034201,-1163.5768404498376,12.979969490258567
5–8,GBM Hybrid,125255,-0.10868657966717653,1.6778145960922548,50.25188615224941,116561.30294199832,114489.88513939199,-2071.417802606331,14.987854108639414
5–8,GAM Hybrid,125255,-0.27504627984943447,1.5180871912834264,50.65985389804798,116561.30294199832,114242.57837157954,-2318.724570418781,15.05221078434483
5–8,Ghép,125255,-0.11128228669691102,1.6763219453661877,50.25587800886192,116561.30294199832,114488.12662712982,-2073.1763148684986,14.986481415237257
8–12,GBM Hybrid,52972,-0.22235451791992283,1.5364088993850384,50.48704976213849,161402.34463490147,158329.28048506353,-3073.064149837941,14.898686344870018
8–12,GAM Hybrid,52972,-0.2846111195771168,1.5076906579968865,50.59842935890659,161402.34463490147,158385.8206090382,-3016.5240258632693,14.968928721033661
8–12,Ghép,52972,-0.1870092525308306,1.5495557324087246,50.39454806312769,161402.34463490147,158381.3632476078,-3020.9813872936647,14.894331633428207
12–15,GBM Hybrid,2045,0.5370480603839828,2.4632179529378293,48.60635696821516,215898.77750611247,214113.0479138657,-1785.7295922467601,15.260030871549365
12–15,GAM Hybrid,2045,-0.09544132726580275,1.4708683434259568,50.31784841075795,215898.77750611247,212400.78603267646,-3497.9914734360063,14.912037212696127
12–15,Ghép,2045,-0.07594440033544864,1.8256772733432638,50.2200488997555,215898.77750611247,213028.87978666858,-2869.897719443892,14.900444336120819
15–18,GBM Hybrid,422,1.7141684651472828,4.685978484727197,45.023696682464454,262990.5213270142,265428.5242441402,2438.0029171259957,16.52585098965727
15–18,GAM Hybrid,422,-1.2885741838943265,1.370312656336765,51.8957345971564,262990.5213270142,257131.01422621077,-5859.507100803428,15.460699916914342
15–18,Ghép,422,-0.5452120192091723,2.1924945421028976,50.71090047393365,262990.5213270142,259276.62298905264,-3713.898337961553,15.46301720290689
18–20,GBM Hybrid,99,-7.082613803751957,-3.1409371488191287,60.60606060606061,289717.17171717173,268835.7152078714,-20881.456509300333,18.8464298520045
18–20,GAM Hybrid,99,-3.289600130836734,-0.005656948024852347,58.58585858585859,289717.17171717173,280344.62183488323,-9372.549882288498,16.287517372175365
18–20,Ghép,99,-4.06266391984384,-0.49381150229886916,60.60606060606061,289717.17171717173,278509.4319330565,-11207.739784115227,16.400889429874834
20–25,GBM Hybrid,97,-13.300553588206993,-10.307737662539793,74.22680412371135,332072.1649484536,290119.1948211172,-41952.97012733639,16.871171542979248
20–25,GAM Hybrid,97,-0.7272753699779666,2.2719314196583333,54.63917525773196,332072.1649484536,332493.8751795148,421.7102310612099,14.070074878361316
20–25,Ghép,97,-4.039905908282186,-0.15456173155416494,55.670103092783506,332072.1649484536,324448.881964485,-7623.2829839686165,13.671159473594818
>25,GBM Hybrid,42,-25.07596475978061,-24.295991307024728,83.33333333333334,463285.71428571426,328994.71670660644,-134290.99757910782,25.941884360175848
>25,GAM Hybrid,42,3.678134064432096,4.427077452926671,45.23809523809524,463285.71428571426,462720.45862187434,-565.2556638399255,15.23728670792918
>25,Ghép,42,-1.7646144252330465,-0.7756985581626027,52.38095238095239,463285.71428571426,439038.51033105986,-24247.203954654397,14.775299988504841
